Ano,Município,Quantidade produzida (Toneladas),Valor da produção (Mil Reais),Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral (Percentual)
2018,Acorizal (MT),0.0,0.0,0.0,0.0
2018,Alta Floresta (MT),66006.0,79207.0,20002.0,57.51
2018,Alto Araguaia (MT),99830.0,99830.0,31393.0,62.65
2018,Alto Boa Vista (MT),73853.0,66468.0,23671.0,74.92
2018,Alto Garças (MT),306900.0,306900.0,93000.0,67.43
2018,Alto Paraguai (MT),21000.0,20300.0,7000.0,67.59
2018,Alto Taquari (MT),164858.0,164858.0,47373.0,36.79
2018,Apiacás (MT),0.0,0.0,0.0,0.0
2018,Araguaiana (MT),6200.0,6190.0,2000.0,55.87
2018,Araguainha (MT),810.0,810.0,270.0,71.62
2018,Araputanga (MT),1468.0,1663.0,470.0,17.31
2018,Arenápolis (MT),7500.0,7250.0,2500.0,61.91
2018,Aripuanã (MT),3600.0,3359.0,1000.0,14.44
2018,Barra do Bugres (MT),3805.0,3805.0,1087.0,2.11
2018,Barra do Garças (MT),103200.0,103200.0,34400.0,97.91
2018,Barão de Melgaço (MT),0.0,0.0,0.0,0.0
2018,Bom Jesus do Araguaia (MT),360137.0,324123.0,111705.0,72.39
2018,Brasnorte (MT),786480.0,770357.0,226000.0,62.89
2018,Campinápolis (MT),88500.0,88204.0,29500.0,82.98
2018,Campo Novo do Parecis (MT),1322400.0,1255844.0,380000.0,51.14
2018,Campo Verde (MT),693000.0,750748.0,210000.0,53.88
2018,Campos de Júlio (MT),717360.0,686514.0,196000.0,52.82
2018,Canabrava do Norte (MT),115200.0,119040.0,32000.0,65.09
2018,Canarana (MT),841500.0,883575.0,255000.0,77.98
2018,Carlinda (MT),20904.0,20207.0,6700.0,61.09
2018,Castanheira (MT),0.0,0.0,0.0,0.0
2018,Chapada dos Guimarães (MT),95434.0,81945.0,25668.0,49.9
2018,Cláudia (MT),313844.0,282460.0,93406.0,60.75
2018,Cocalinho (MT),21900.0,21170.0,7300.0,85.88
2018,Colniza (MT),0.0,0.0,0.0,0.0
2018,Colíder (MT),40000.0,39600.0,11696.0,64.99
2018,Comodoro (MT),252000.0,259701.0,75000.0,60.38
2018,Confresa (MT),136768.0,141326.0,37991.0,65.17
2018,Conquista D'Oeste (MT),15114.0,14464.0,4580.0,69.66
2018,Cotriguaçu (MT),1080.0,1008.0,300.0,7.13
2018,Cuiabá (MT),0.0,0.0,0.0,0.0
2018,Curvelândia (MT),0.0,0.0,0.0,0.0
2018,Cáceres (MT),32656.0,36772.0,8004.0,60.28
2018,Denise (MT),7380.0,7380.0,2050.0,3.57
2018,Diamantino (MT),1091880.0,1090133.0,337000.0,56.64
2018,Dom Aquino (MT),159000.0,172515.0,50000.0,58.18
2018,Feliz Natal (MT),410400.0,355406.0,120000.0,58.95
2018,Figueirópolis D'Oeste (MT),0.0,0.0,0.0,0.0
2018,Gaúcha do Norte (MT),579120.0,295351.0,190000.0,82.55
2018,General Carneiro (MT),206539.0,212390.0,57372.0,62.68
2018,Glória D'Oeste (MT),0.0,0.0,0.0,0.0
2018,Guarantã do Norte (MT),36000.0,32040.0,12000.0,54.78
2018,Guiratinga (MT),227700.0,248573.0,69000.0,67.48
2018,Indiavaí (MT),0.0,0.0,0.0,0.0
2018,Ipiranga do Norte (MT),739200.0,695262.0,220000.0,63.82
2018,Itanhangá (MT),296400.0,279831.0,95000.0,67.97
